Loyalty Number,Country,Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Cancellation Year,Cancellation Month,Cancellation Date,Enrollment Date,Cancelled Before Cutoff,Enrolled After Cutoff,Promotion Customer,Tenure,Total Flights in Lifetime,Total Distance,Net Reward Points,Redeem Ratio,Months Since Last Flight,Flights in last 3 months,Flights in last 6 months,Engagement Score,Cancelled In Label Window,Churn
480934,canada,ontario,toronto,m2z 4k1,female,bachelor,83236.0,married,star,3839.14,standard,2016,2,0.0,0.0,,2016-02-01,False,False,0,28,24,31092,30770.0,0.01,1,6,6,0.16257475253345202,False,0
549612,canada,alberta,edmonton,t3g 6y6,male,college,73455.0,divorced,star,3839.61,standard,2016,3,0.0,0.0,,2016-03-01,False,False,0,27,45,56299,55159.0,0.02,0,11,14,0.2255874164768085,False,0
608370,canada,ontario,toronto,p1w 1k4,male,college,73455.0,single,star,3839.75,standard,2013,2,0.0,0.0,,2013-02-01,False,False,0,64,30,42154,41290.0,0.02,0,3,6,0.26789389916363676,False,0
530508,canada,quebec,hull,j8y 3z5,male,bachelor,103495.0,married,star,3842.79,standard,2014,10,0.0,0.0,,2014-10-01,False,False,0,44,20,34361,34361.0,0.0,0,7,9,0.23678067785483595,False,0
193662,canada,yukon,whitehorse,y2k 6r0,male,bachelor,51124.0,married,star,3844.57,standard,2012,5,0.0,0.0,,2012-05-01,False,False,0,73,71,119399,118545.0,0.007,0,13,19,0.4163874193160334,False,0
927943,canada,ontario,toronto,p5s 6r4,female,college,73455.0,single,star,3857.95,standard,2014,6,0.0,0.0,,2014-06-01,False,False,0,48,29,41713,40130.0,0.038,0,9,13,0.280818144269381,False,0
188893,canada,ontario,trenton,k8v 4b2,male,bachelor,100159.0,married,star,3861.49,standard,2016,12,0.0,0.0,,2016-12-01,False,False,0,18,31,55005,54272.0,0.013,0,5,8,0.13322872714309025,False,0
852392,canada,quebec,montreal,h2y 2w2,female,bachelor,100159.0,married,star,3861.49,standard,2015,5,0.0,0.0,,2015-05-01,False,False,0,37,25,47179,46189.0,0.021,2,3,5,0.17184246876194695,False,0
866307,canada,ontario,toronto,m8y 4k8,male,bachelor,100159.0,married,star,3861.49,standard,2016,10,0.0,0.0,,2016-10-01,False,False,0,20,35,43478,41795.0,0.039,0,7,12,0.17046289225449324,False,0
932823,canada,british columbia,vancouver,v6e 3d9,female,bachelor,66444.0,married,star,3863.31,standard,2015,3,0.0,0.0,,2015-03-01,False,False,0,39,41,68751,68252.0,0.007,0,12,16,0.2814394254261584,False,0
144514,canada,british columbia,dawson creek,u5i 4f1,female,bachelor,49618.0,married,star,3864.78,standard,2016,6,0.0,0.0,,2016-06-01,False,False,0,24,24,36909,36404.0,0.014,0,7,12,0.18398650679423417,False,0
611765,canada,quebec,quebec city,g1b 3l5,male,bachelor,90175.0,single,star,3867.97,standard,2018,1,0.0,0.0,,2018-01-01,False,False,0,5,10,15756,15756.0,0.0,1,4,10,0.09369884221448421,False,0
988178,canada,quebec,montreal,h4g 3t4,male,college,73455.0,single,star,3871.07,standard,2013,10,0.0,0.0,,2013-10-01,False,False,0,56,51,70331,69652.0,0.01,1,6,13,0.2915811047664012,False,0
