Loyalty Number,Country,Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Cancellation Year,Cancellation Month
480934,canada,ontario,toronto,m2z 4k1,female,bachelor,83236.0,married,star,3839.14,standard,2016,2,0.0,0.0
549612,canada,alberta,edmonton,t3g 6y6,male,college,73455.0,divorced,star,3839.61,standard,2016,3,0.0,0.0
429460,canada,british columbia,vancouver,v6e 3d9,male,college,73455.0,single,star,3839.75,standard,2014,7,2018.0,1.0
608370,canada,ontario,toronto,p1w 1k4,male,college,73455.0,single,star,3839.75,standard,2013,2,0.0,0.0
530508,canada,quebec,hull,j8y 3z5,male,bachelor,103495.0,married,star,3842.79,standard,2014,10,0.0,0.0
193662,canada,yukon,whitehorse,y2k 6r0,male,bachelor,51124.0,married,star,3844.57,standard,2012,5,0.0,0.0
927943,canada,ontario,toronto,p5s 6r4,female,college,73455.0,single,star,3857.95,standard,2014,6,0.0,0.0
188893,canada,ontario,trenton,k8v 4b2,male,bachelor,100159.0,married,star,3861.49,standard,2016,12,0.0,0.0
852392,canada,quebec,montreal,h2y 2w2,female,bachelor,100159.0,married,star,3861.49,standard,2015,5,0.0,0.0
866307,canada,ontario,toronto,m8y 4k8,male,bachelor,100159.0,married,star,3861.49,standard,2016,10,0.0,0.0
932823,canada,british columbia,vancouver,v6e 3d9,female,bachelor,66444.0,married,star,3863.31,standard,2015,3,0.0,0.0
144514,canada,british columbia,dawson creek,u5i 4f1,female,bachelor,49618.0,married,star,3864.78,standard,2016,6,0.0,0.0
611765,canada,quebec,quebec city,g1b 3l5,male,bachelor,90175.0,single,star,3867.97,standard,2018,1,0.0,0.0
988178,canada,quebec,montreal,h4g 3t4,male,college,73455.0,single,star,3871.07,standard,2013,10,0.0,0.0
286114,canada,ontario,toronto,m2m 7k8,female,college,73455.0,single,star,3872.22,standard,2016,11,0.0,0.0
205785,canada,ontario,toronto,m2m 6j7,male,master,128118.0,married,star,3873.65,standard,2016,8,0.0,0.0
735304,canada,alberta,edmonton,t3g 6y6,female,master,128118.0,married,star,3873.65,standard,2016,12,0.0,0.0
438936,canada,quebec,montreal,h2y 2w2,male,bachelor,94092.0,married,star,3878.77,standard,2013,10,0.0,0.0
172755,canada,alberta,edmonton,t3g 6y6,female,college,73455.0,single,aurora,5303.76,2018 promotion,2018,3,0.0,0.0
354730,canada,new brunswick,fredericton,e3b 2h2,female,college,73455.0,married,star,3885.46,standard,2014,10,2018.0,1.0
413741,canada,ontario,toronto,m1r 4k3,female,college,73455.0,married,star,3885.46,standard,2015,7,0.0,0.0
552965,canada,quebec,montreal,h4g 3t4,male,college,73455.0,married,star,3885.46,standard,2018,11,0.0,0.0
642313,canada,alberta,edmonton,t9g 1w3,male,college,73455.0,married,star,3885.46,standard,2016,3,0.0,0.0
263080,canada,alberta,edmonton,t9g 1w3,male,college,73455.0,single,star,3886.5,standard,2014,5,0.0,0.0
109767,canada,ontario,toronto,m1r 4k3,female,bachelor,89062.0,single,star,3886.65,standard,2016,5,0.0,0.0
217754,canada,quebec,montreal,h2y 4r4,female,bachelor,102400.0,single,star,3887.32,standard,2015,6,0.0,0.0
157005,canada,british columbia,vancouver,v5r 1w3,male,bachelor,98629.0,married,star,3890.87,standard,2016,10,0.0,0.0
557752,canada,ontario,toronto,p1l 8x8,female,bachelor,98629.0,married,star,3890.87,standard,2017,10,0.0,0.0
608758,canada,ontario,ottawa,k1f 2r2,male,bachelor,63795.0,married,star,3890.96,standard,2013,7,0.0,0.0
599341,canada,quebec,tremblant,h5y 2s9,female,bachelor,54890.0,married,star,3891.54,standard,2015,11,0.0,0.0
333502,canada,british columbia,vancouver,v5r 1w3,male,college,73455.0,married,star,3891.58,standard,2014,3,0.0,0.0
201574,canada,ontario,ottawa,k1f 2r2,female,bachelor,51375.0,married,star,3893.31,standard,2015,4,2015.0,12.0
403361,canada,british columbia,vancouver,v1e 4r6,male,bachelor,70222.0,single,star,3895.03,standard,2017,10,0.0,0.0
543918,canada,quebec,montreal,h2t 2j6,male,high school or below,40736.0,married,star,3896.57,standard,2012,11,0.0,0.0
806030,canada,alberta,calgary,t3e 2v9,female,bachelor,75861.0,married,star,3903.47,standard,2018,5,0.0,0.0
119200,canada,british columbia,vancouver,v6e 3d9,female,bachelor,69835.0,divorced,star,3903.8,standard,2017,5,0.0,0.0
938981,canada,alberta,edmonton,t3g 6y6,female,college,73455.0,single,aurora,5337.35,2018 promotion,2018,4,0.0,0.0
238119,canada,quebec,montreal,h2t 9k8,male,bachelor,75980.0,married,star,3906.67,standard,2013,5,0.0,0.0
730388,canada,ontario,thunder bay,k8t 5m5,male,college,73455.0,single,star,3907.03,standard,2012,5,0.0,0.0
834891,canada,british columbia,vancouver,v5r 1w3,female,bachelor,54460.0,married,star,3911.12,standard,2017,3,2017.0,4.0
127400,canada,british columbia,whistler,v6t 1y8,female,college,73455.0,single,star,3914.72,standard,2014,6,0.0,0.0
324557,canada,quebec,montreal,h2y 2w2,female,college,73455.0,single,star,3914.72,standard,2013,2,0.0,0.0
742002,canada,ontario,toronto,p2t 6g3,female,college,73455.0,single,star,3915.8,standard,2016,5,0.0,0.0
536567,canada,alberta,peace river,t9o 2w2,male,bachelor,80697.0,married,star,3919.37,standard,2016,5,0.0,0.0
704835,canada,british columbia,whistler,v6t 1y8,male,bachelor,80697.0,married,star,3919.37,standard,2016,9,0.0,0.0
733338,canada,ontario,thunder bay,k8t 5m5,female,bachelor,80697.0,married,star,3919.37,standard,2016,6,2017.0,2.0
758635,canada,quebec,montreal,h2t 9k8,male,bachelor,80697.0,married,star,3919.37,standard,2018,6,0.0,0.0
823048,canada,british columbia,vancouver,v6e 3z3,male,bachelor,80697.0,married,star,3919.37,standard,2018,5,0.0,0.0
612905,canada,ontario,toronto,p2t 6g3,female,college,73455.0,married,star,3920.51,standard,2015,2,0.0,0.0
679908,canada,quebec,montreal,h4g 3t4,female,bachelor,77601.0,married,star,3921.02,standard,2015,8,0.0,0.0
704150,canada,manitoba,winnipeg,r6y 4t5,male,bachelor,77601.0,married,star,3921.02,standard,2014,10,0.0,0.0
869743,canada,ontario,sudbury,m5v 1g5,female,bachelor,73236.0,single,star,3924.42,standard,2016,11,2017.0,7.0
596179,canada,new brunswick,fredericton,e3b 2h2,female,bachelor,50879.0,single,star,3933.81,standard,2014,3,0.0,0.0
370450,canada,ontario,thunder bay,k8t 5m5,female,high school or below,62160.0,married,star,3934.1,standard,2012,11,0.0,0.0
501030,canada,british columbia,vancouver,v6e 3z3,male,bachelor,93541.0,married,star,3934.71,standard,2017,3,0.0,0.0
878633,canada,ontario,trenton,k8v 4b2,female,doctor,163974.0,married,star,3936.79,standard,2013,12,0.0,0.0
285938,canada,quebec,montreal,h2t 2j6,female,bachelor,75827.0,married,star,3939.01,standard,2014,9,0.0,0.0
588237,canada,quebec,tremblant,h5y 2s9,male,bachelor,75827.0,married,star,3939.01,standard,2013,11,0.0,0.0
645280,canada,british columbia,west vancouver,v6v 8z3,male,bachelor,75827.0,married,star,3939.01,standard,2012,12,0.0,0.0
864324,canada,quebec,quebec city,g1b 3l5,female,bachelor,75827.0,married,star,3939.01,standard,2018,6,0.0,0.0
124678,canada,nova scotia,halifax,b3j 9s2,male,doctor,152955.0,married,star,3954.34,standard,2013,6,0.0,0.0
186015,canada,british columbia,vancouver,v6e 3z3,male,doctor,152955.0,married,star,3954.34,standard,2015,9,0.0,0.0
461108,canada,quebec,montreal,h2t 9k8,male,doctor,152955.0,married,star,3954.34,standard,2018,10,0.0,0.0
589580,canada,british columbia,whistler,v6t 1y8,male,doctor,152955.0,married,star,3954.34,standard,2015,8,0.0,0.0
623688,canada,ontario,london,m5b 3e4,female,doctor,152955.0,married,star,3954.34,standard,2016,5,0.0,0.0
386082,canada,alberta,edmonton,t9g 1w3,female,bachelor,30486.0,divorced,aurora,5391.97,2018 promotion,2018,3,2018.0,11.0
256147,canada,ontario,toronto,m1r 4k3,female,college,73455.0,married,star,3958.0,standard,2012,9,0.0,0.0
329382,canada,quebec,montreal,h2t 9k8,male,college,73455.0,single,star,3961.59,standard,2012,8,0.0,0.0
140392,canada,british columbia,vancouver,v5r 1w3,female,bachelor,96814.0,married,star,3963.39,standard,2013,7,0.0,0.0
112522,canada,alberta,peace river,t9o 2w2,male,bachelor,49846.0,married,aurora,5636.74,2018 promotion,2018,2,0.0,0.0
230908,canada,british columbia,vancouver,v6e 3z3,male,doctor,217538.0,divorced,star,3964.15,standard,2012,5,0.0,0.0
972581,canada,british columbia,vancouver,v5r 1w3,male,high school or below,48744.0,married,star,3964.53,standard,2016,2,0.0,0.0
357549,canada,british columbia,whistler,v6t 1y8,female,bachelor,76410.0,single,star,3964.73,standard,2018,9,0.0,0.0
330694,canada,alberta,edmonton,t3g 6y6,female,bachelor,105053.0,married,aurora,6172.91,2018 promotion,2018,2,0.0,0.0
910875,canada,quebec,hull,j8y 3z5,female,bachelor,84914.0,married,star,3966.13,standard,2012,11,0.0,0.0
501704,canada,quebec,hull,j8y 3z5,male,college,73455.0,divorced,star,3974.86,standard,2013,5,0.0,0.0
529098,canada,british columbia,vancouver,v6e 3z3,female,college,73455.0,divorced,star,3974.86,standard,2017,10,0.0,0.0
265297,canada,manitoba,winnipeg,r2c 0m5,female,bachelor,60519.0,married,star,3978.67,standard,2018,7,0.0,0.0
567875,canada,quebec,quebec city,g1b 3l5,female,bachelor,102457.0,married,star,3979.72,standard,2017,5,0.0,0.0
688524,canada,manitoba,winnipeg,r2c 0m5,female,bachelor,103862.0,married,star,3980.42,standard,2013,3,0.0,0.0
269070,canada,british columbia,vancouver,v6e 3z3,male,master,93153.0,married,star,3985.32,standard,2013,1,0.0,0.0
387705,canada,quebec,hull,j8y 3z5,female,master,93153.0,married,star,3985.32,standard,2013,4,0.0,0.0
923293,canada,saskatchewan,regina,s6j 3g0,male,bachelor,86793.0,divorced,star,3985.55,standard,2016,6,0.0,0.0
283314,canada,ontario,toronto,m2z 4k1,female,bachelor,72127.0,married,star,3991.73,standard,2013,4,2015.0,2.0
322102,canada,british columbia,vancouver,v5r 1w3,male,college,73455.0,married,star,3992.58,standard,2013,8,2014.0,4.0
789157,canada,british columbia,vancouver,v6e 3z3,female,college,73455.0,single,star,3995.36,standard,2018,9,0.0,0.0
654748,canada,ontario,ottawa,k1f 2r2,female,bachelor,65721.0,married,star,3996.77,standard,2017,4,2017.0,12.0
984713,canada,ontario,sudbury,m5v 1g5,female,college,73455.0,single,star,3997.48,standard,2018,8,0.0,0.0
114835,canada,ontario,toronto,m1r 4k3,female,master,101354.0,divorced,star,4001.52,standard,2017,7,0.0,0.0
328936,canada,ontario,thunder bay,k8t 5m5,female,bachelor,53118.0,married,star,4005.72,standard,2015,3,0.0,0.0
845864,canada,british columbia,vancouver,v5r 1w3,female,doctor,115440.0,married,star,4013.85,standard,2013,4,0.0,0.0
645265,canada,quebec,quebec city,g1b 3l5,male,bachelor,73313.0,married,star,4013.95,standard,2013,3,0.0,0.0
223587,canada,british columbia,vancouver,v6e 3z3,female,bachelor,100167.0,married,star,4013.96,standard,2017,8,0.0,0.0
158560,canada,british columbia,vancouver,v6e 3d9,male,bachelor,59262.0,married,star,4014.45,standard,2015,12,0.0,0.0
417584,canada,british columbia,vancouver,v5r 1w3,male,bachelor,59262.0,married,star,4014.45,standard,2014,5,0.0,0.0
566033,canada,ontario,toronto,m2p 4f6,male,college,73455.0,married,star,4015.21,standard,2015,6,2016.0,7.0
472521,canada,alberta,edmonton,t9g 1w3,male,college,73455.0,married,aurora,6265.34,2018 promotion,2018,3,0.0,0.0
425854,canada,ontario,toronto,p1j 8t7,female,high school or below,39079.0,married,star,4016.13,standard,2016,11,0.0,0.0
174896,canada,alberta,edmonton,t3g 6y6,female,college,73455.0,single,star,4016.54,standard,2015,4,2015.0,12.0
695855,canada,quebec,montreal,h2t 2j6,female,college,73455.0,divorced,star,4019.38,standard,2013,4,0.0,0.0
