Loyalty Number,Country,Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Cancellation Year,Cancellation Month,Cancellation Date,Enrollment Date,Cancelled Before Cutoff,Enrolled After Cutoff,Promotion Customer,Tenure,Total Flights in Lifetime,Total Distance,Net Reward Points,Redeem Ratio,Months Since Last Flight,Flights in last 3 months,Flights in last 6 months,Engagement Score,Cancelled In Label Window,Churn,churn_risk_score,churn_risk_tier,segment,segment_name
480934,canada,ontario,toronto,m2z 4k1,female,bachelor,83236.0,married,star,3839.14,standard,2016,2,0.0,0.0,,2016-02-01,False,False,0,28,24,31092,30770.0,0.01,1,6,6,0.162574752533452,False,0,0.2292634549868028,Low Risk,2,Occasional / Higher Churn Risk
549612,canada,alberta,edmonton,t3g 6y6,male,college,73455.0,divorced,star,3839.61,standard,2016,3,0.0,0.0,,2016-03-01,False,False,0,27,45,56299,55159.0,0.02,0,11,14,0.2255874164768085,False,0,0.2780385386327167,Low Risk,1,"Champions (high flights, low churn)"
608370,canada,ontario,toronto,p1w 1k4,male,college,73455.0,single,star,3839.75,standard,2013,2,0.0,0.0,,2013-02-01,False,False,0,64,30,42154,41290.0,0.02,0,3,6,0.2678938991636367,False,0,0.2010284231212576,Low Risk,1,"Champions (high flights, low churn)"
530508,canada,quebec,hull,j8y 3z5,male,bachelor,103495.0,married,star,3842.79,standard,2014,10,0.0,0.0,,2014-10-01,False,False,0,44,20,34361,34361.0,0.0,0,7,9,0.2367806778548359,False,0,0.1995776024556152,Low Risk,2,Occasional / Higher Churn Risk
193662,canada,yukon,whitehorse,y2k 6r0,male,bachelor,51124.0,married,star,3844.57,standard,2012,5,0.0,0.0,,2012-05-01,False,False,0,73,71,119399,118545.0,0.007,0,13,19,0.4163874193160334,False,0,0.1490318471231779,Low Risk,1,"Champions (high flights, low churn)"
927943,canada,ontario,toronto,p5s 6r4,female,college,73455.0,single,star,3857.95,standard,2014,6,0.0,0.0,,2014-06-01,False,False,0,48,29,41713,40130.0,0.038,0,9,13,0.280818144269381,False,0,0.2147934873606027,Low Risk,1,"Champions (high flights, low churn)"
188893,canada,ontario,trenton,k8v 4b2,male,bachelor,100159.0,married,star,3861.49,standard,2016,12,0.0,0.0,,2016-12-01,False,False,0,18,31,55005,54272.0,0.013,0,5,8,0.1332287271430902,False,0,0.2676302250777623,Low Risk,1,"Champions (high flights, low churn)"
852392,canada,quebec,montreal,h2y 2w2,female,bachelor,100159.0,married,star,3861.49,standard,2015,5,0.0,0.0,,2015-05-01,False,False,0,37,25,47179,46189.0,0.021,2,3,5,0.1718424687619469,False,0,0.2068808359486223,Low Risk,1,"Champions (high flights, low churn)"
866307,canada,ontario,toronto,m8y 4k8,male,bachelor,100159.0,married,star,3861.49,standard,2016,10,0.0,0.0,,2016-10-01,False,False,0,20,35,43478,41795.0,0.039,0,7,12,0.1704628922544932,False,0,0.2511874379291757,Low Risk,1,"Champions (high flights, low churn)"
932823,canada,british columbia,vancouver,v6e 3d9,female,bachelor,66444.0,married,star,3863.31,standard,2015,3,0.0,0.0,,2015-03-01,False,False,0,39,41,68751,68252.0,0.007,0,12,16,0.2814394254261584,False,0,0.2154000611479986,Low Risk,1,"Champions (high flights, low churn)"
144514,canada,british columbia,dawson creek,u5i 4f1,female,bachelor,49618.0,married,star,3864.78,standard,2016,6,0.0,0.0,,2016-06-01,False,False,0,24,24,36909,36404.0,0.014,0,7,12,0.1839865067942341,False,0,0.2136978578186204,Low Risk,2,Occasional / Higher Churn Risk
611765,canada,quebec,quebec city,g1b 3l5,male,bachelor,90175.0,single,star,3867.97,standard,2018,1,0.0,0.0,,2018-01-01,False,False,0,5,10,15756,15756.0,0.0,1,4,10,0.0936988422144842,False,0,0.4767460579868731,Medium Risk,2,Occasional / Higher Churn Risk
988178,canada,quebec,montreal,h4g 3t4,male,college,73455.0,single,star,3871.07,standard,2013,10,0.0,0.0,,2013-10-01,False,False,0,56,51,70331,69652.0,0.01,1,6,13,0.2915811047664012,False,0,0.1984993375385154,Low Risk,1,"Champions (high flights, low churn)"
286114,canada,ontario,toronto,m2m 7k8,female,college,73455.0,single,star,3872.22,standard,2016,11,0.0,0.0,,2016-11-01,False,False,0,19,18,23388,21837.0,0.066,0,4,4,0.1115974232440348,False,0,0.2861240482180298,Low Risk,0,Engaged / Mid-Tier Loyalty
205785,canada,ontario,toronto,m2m 6j7,male,master,128118.0,married,star,3873.65,standard,2016,8,0.0,0.0,,2016-08-01,False,False,0,22,31,44485,43252.0,0.028,2,2,4,0.1108673835774338,False,0,0.2278658768953164,Low Risk,1,"Champions (high flights, low churn)"
735304,canada,alberta,edmonton,t3g 6y6,female,master,128118.0,married,star,3873.65,standard,2016,12,0.0,0.0,,2016-12-01,False,False,0,18,18,30065,29457.0,0.02,0,5,9,0.1381680218115758,False,0,0.2939970363383301,Low Risk,2,Occasional / Higher Churn Risk
438936,canada,quebec,montreal,h2y 2w2,male,bachelor,94092.0,married,star,3878.77,standard,2013,10,0.0,0.0,,2013-10-01,False,False,0,56,38,47978,47479.0,0.01,0,7,9,0.2774316849375232,False,0,0.2002095311127843,Low Risk,1,"Champions (high flights, low churn)"
172755,canada,alberta,edmonton,t3g 6y6,female,college,73455.0,single,aurora,5303.76,2018 promotion,2018,3,0.0,0.0,,2018-03-01,False,False,1,3,21,17374,26061.0,0.0,0,21,21,0.2376631506661565,False,0,0.5565307266142375,Medium Risk,2,Occasional / Higher Churn Risk
413741,canada,ontario,toronto,m1r 4k3,female,college,73455.0,married,star,3885.46,standard,2015,7,0.0,0.0,,2015-07-01,False,False,0,35,30,50373,48963.0,0.028,1,5,8,0.1907347527666082,False,0,0.2347018365558405,Low Risk,1,"Champions (high flights, low churn)"
642313,canada,alberta,edmonton,t9g 1w3,male,college,73455.0,married,star,3885.46,standard,2016,3,0.0,0.0,,2016-03-01,False,False,0,27,33,47139,45633.0,0.032,0,11,14,0.2257281860976374,False,1,0.2849815895101472,Low Risk,1,"Champions (high flights, low churn)"
263080,canada,alberta,edmonton,t9g 1w3,male,college,73455.0,single,star,3886.5,standard,2014,5,0.0,0.0,,2014-05-01,False,False,0,49,22,30843,30497.0,0.011,0,4,8,0.2326004604847772,False,0,0.2330471593830149,Low Risk,2,Occasional / Higher Churn Risk
109767,canada,ontario,toronto,m1r 4k3,female,bachelor,89062.0,single,star,3886.65,standard,2016,5,0.0,0.0,,2016-05-01,False,False,0,25,31,48990,47238.0,0.036,1,7,12,0.1874320309001486,False,0,0.240636453405862,Low Risk,1,"Champions (high flights, low churn)"
217754,canada,quebec,montreal,h2y 4r4,female,bachelor,102400.0,single,star,3887.32,standard,2015,6,0.0,0.0,,2015-06-01,False,False,0,36,26,43983,43983.0,0.0,0,5,6,0.1843149201869315,False,0,0.1856068611275787,Low Risk,1,"Champions (high flights, low churn)"
157005,canada,british columbia,vancouver,v5r 1w3,male,bachelor,98629.0,married,star,3890.87,standard,2016,10,0.0,0.0,,2016-10-01,False,False,0,20,36,52738,52738.0,0.0,0,6,8,0.1455104695938197,False,0,0.2194930891846102,Low Risk,1,"Champions (high flights, low churn)"
557752,canada,ontario,toronto,p1l 8x8,female,bachelor,98629.0,married,star,3890.87,standard,2017,10,0.0,0.0,,2017-10-01,False,False,0,8,11,16988,16326.0,0.039,1,2,6,0.0734268770498691,False,0,0.2879976397195724,Low Risk,0,Engaged / Mid-Tier Loyalty
608758,canada,ontario,ottawa,k1f 2r2,male,bachelor,63795.0,married,star,3890.96,standard,2013,7,0.0,0.0,,2013-07-01,False,False,0,59,25,41760,41760.0,0.0,0,5,12,0.2914405631990022,False,0,0.149691032796336,Low Risk,1,"Champions (high flights, low churn)"
599341,canada,quebec,tremblant,h5y 2s9,female,bachelor,54890.0,married,star,3891.54,standard,2015,11,0.0,0.0,,2015-11-01,False,False,0,31,46,81241,79378.0,0.023,1,3,9,0.171272301762103,False,0,0.2171681441554363,Low Risk,1,"Champions (high flights, low churn)"
333502,canada,british columbia,vancouver,v5r 1w3,male,college,73455.0,married,star,3891.58,standard,2014,3,0.0,0.0,,2014-03-01,False,False,0,51,24,35456,35456.0,0.0,0,7,10,0.2654810833575964,False,0,0.2234425262657934,Low Risk,2,Occasional / Higher Churn Risk
403361,canada,british columbia,vancouver,v1e 4r6,male,bachelor,70222.0,single,star,3895.03,standard,2017,10,0.0,0.0,,2017-10-01,False,False,0,8,8,12611,12611.0,0.0,3,0,5,0.0576681231664334,False,0,0.2929017300930553,Low Risk,2,Occasional / Higher Churn Risk
543918,canada,quebec,montreal,h2t 2j6,male,high school or below,40736.0,married,star,3896.57,standard,2012,11,0.0,0.0,,2012-11-01,False,False,0,67,41,60743,58219.0,0.042,0,6,11,0.3190176359887503,False,0,0.1187030268229279,Low Risk,1,"Champions (high flights, low churn)"
806030,canada,alberta,calgary,t3e 2v9,female,bachelor,75861.0,married,star,3903.47,standard,2018,5,0.0,0.0,,2018-05-01,False,False,0,1,4,8988,8988.0,0.0,0,4,4,0.0508825568312808,False,0,0.465537757249755,Medium Risk,2,Occasional / Higher Churn Risk
119200,canada,british columbia,vancouver,v6e 3d9,female,bachelor,69835.0,divorced,star,3903.8,standard,2017,5,0.0,0.0,,2017-05-01,False,False,0,13,21,33321,32808.0,0.015,0,6,11,0.1366074012522523,False,0,0.221132898617661,Low Risk,2,Occasional / Higher Churn Risk
938981,canada,alberta,edmonton,t3g 6y6,female,college,73455.0,single,aurora,5337.35,2018 promotion,2018,4,0.0,0.0,,2018-04-01,False,False,1,2,8,8864,13296.0,0.0,1,8,8,0.1000102368932396,False,0,0.6309516840899384,High Risk,2,Occasional / Higher Churn Risk
238119,canada,quebec,montreal,h2t 9k8,male,bachelor,75980.0,married,star,3906.67,standard,2013,5,0.0,0.0,,2013-05-01,False,False,0,61,42,67827,67216.0,0.009,0,10,17,0.3499292700885969,False,0,0.16999020677067,Low Risk,1,"Champions (high flights, low churn)"
730388,canada,ontario,thunder bay,k8t 5m5,male,college,73455.0,single,star,3907.03,standard,2012,5,0.0,0.0,,2012-05-01,False,False,0,73,30,41947,41947.0,0.0,1,4,7,0.3088426124132919,False,0,0.1396399988542691,Low Risk,1,"Champions (high flights, low churn)"
127400,canada,british columbia,whistler,v6t 1y8,female,college,73455.0,single,star,3914.72,standard,2014,6,0.0,0.0,,2014-06-01,False,False,0,48,24,33105,32577.0,0.016,0,9,11,0.2711885191320394,False,0,0.2236175201035521,Low Risk,2,Occasional / Higher Churn Risk
324557,canada,quebec,montreal,h2y 2w2,female,college,73455.0,single,star,3914.72,standard,2013,2,0.0,0.0,,2013-02-01,False,False,0,64,28,45641,44996.0,0.014,0,8,12,0.3247097513617116,False,0,0.1665558244457124,Low Risk,1,"Champions (high flights, low churn)"
742002,canada,ontario,toronto,p2t 6g3,female,college,73455.0,single,star,3915.8,standard,2016,5,0.0,0.0,,2016-05-01,False,False,0,25,21,39601,39601.0,0.0,2,3,8,0.1461745542626185,False,0,0.2080244783003483,Low Risk,2,Occasional / Higher Churn Risk
536567,canada,alberta,peace river,t9o 2w2,male,bachelor,80697.0,married,star,3919.37,standard,2016,5,0.0,0.0,,2016-05-01,False,False,0,25,39,50451,49551.0,0.018,0,9,16,0.2180098968773362,False,0,0.2395951439527638,Low Risk,1,"Champions (high flights, low churn)"
704835,canada,british columbia,whistler,v6t 1y8,male,bachelor,80697.0,married,star,3919.37,standard,2016,9,0.0,0.0,,2016-09-01,False,False,0,21,31,48927,47964.0,0.02,0,9,13,0.1897905010108815,False,0,0.2458495504468704,Low Risk,1,"Champions (high flights, low churn)"
758635,canada,quebec,montreal,h2t 9k8,male,bachelor,80697.0,married,star,3919.37,standard,2018,6,0.0,0.0,,2018-06-01,False,False,0,0,0,0,0.0,0.0,999,0,0,0.0062060213905963,False,0,0.376630067600848,Medium Risk,4,Dormant / Never Flew
